대분류,중분류,최종점수,등급,사업용 자동차,등급,자전거 및 이륜차,등급,보행자,등급,교통약자,등급,운전자,등급,도로환경,등급
강원,강릉시,79.76,C,75.48,D,83.44,B,79.42,C,81.86,B,78.03,C,80.32,C
강원,고성군,83.85,A,83.11,C,83.74,C,84.38,A,84.77,B,80.96,C,86.16,B
강원,동해시,83.49,B,79.72,C,84.31,A,83.57,A,84.45,A,82.53,B,86.35,A
강원,삼척시,83.86,A,83.25,A,84.03,A,81.64,C,84.9,A,83.28,B,86.08,B
강원,속초시,82.81,B,82.5,B,81.54,C,79.9,C,84.4,A,83.32,A,85.22,B
강원,양구군,82.2,C,77.29,E,84.49,A,80.58,D,84.95,B,82.95,B,82.98,C
강원,양양군,83.99,A,83.21,B,81.78,D,83.68,B,85.56,A,83.75,A,85.95,B
강원,영월군,83.26,B,83.04,C,84.47,B,84.07,B,84.65,B,76.62,D,86.68,A
강원,원주시,78.94,B,81.84,A,83.43,A,76,C,77.49,B,77.51,B,77.4,B
강원,인제군,82.71,C,83.28,B,83.81,B,78.71,D,85.68,A,81.47,C,83.31,C
강원,정선군,83.33,B,83.07,C,84.5,A,77.36,D,84.2,B,83.96,A,86.89,A
강원,철원군,83.86,A,81.53,D,84.48,A,84.42,A,84.7,B,83.06,B,84.97,B
강원,춘천시,77.66,D,81.25,C,82.66,B,77.76,D,80.02,C,73.45,E,70.83,E
강원,태백시,81.88,B,79.64,C,84.48,A,80.5,C,82.3,B,82.06,B,82.29,B
강원,평창군,84.04,A,83.25,B,83.96,B,84.36,A,85.39,A,80.46,D,86.79,A
강원,홍천군,80.58,D,83.19,C,82.94,C,83.01,C,79.07,D,78.78,D,76.51,D
강원,화천군,84.85,A,83.26,B,84.43,B,84.38,A,85.71,A,84.08,A,87.21,A
강원,횡성군,82.33,C,83.11,C,83.78,B,81.99,C,82.74,C,78.88,D,83.5,C
경기,가평군,80.15,D,81.46,D,82.36,D,80.51,D,82.01,C,76.66,D,77.87,D
경기,고양시,66.82,E,67.32,D,62.15,E,74.27,D,68.76,D,66.27,D,62.16,E
경기,과천시,84.6,A,82.99,B,84.4,A,84.37,A,85.85,A,83,B,87.01,A
경기,광명시,78.64,C,78.9,C,75.45,D,77.07,D,80.69,C,79.5,C,80.24,C
경기,광주시,72.98,C,63.92,E,79.34,B,74.66,D,70.25,D,71.86,C,77.84,B
경기,구리시,78.57,D,68.57,E,82.45,C,72.26,E,84.04,B,82,B,82.08,B
경기,군포시,81.33,B,76.93,D,81.49,C,83.35,A,82.92,B,79.44,C,83.87,B
경기,김포시,73.2,C,74.28,C,70.22,D,79.66,B,72.41,C,71.44,D,71.21,C
경기,남양주시,75.64,B,77.13,B,73.16,C,78.42,C,73.96,C,75.84,B,75.35,B
경기,동두천시,83.83,A,81.38,C,83.13,B,83.65,A,84.29,B,84.12,A,86.41,A
경기,부천시,69.46,D,64.42,E,64.48,D,68.95,E,71.03,D,78.43,B,69.48,C
경기,성남시,73.64,C,69.77,D,75.47,C,78.61,C,75.52,C,72.59,C,69.86,C
경기,수원시,68.76,E,67.92,D,67.87,D,77.22,C,66.81,D,65.24,E,67.49,D
경기,시흥시,75.23,B,77.98,B,74.31,C,78.97,B,77,B,72.36,C,70.79,C
경기,안산시,72.36,C,75.11,C,66.97,D,75.83,C,76.45,B,71.67,C,68.15,C
경기,안성시,76.13,D,75.7,D,74.55,D,74.04,E,80.63,C,77.63,D,74.21,D
경기,안양시,80.63,A,79.97,B,79.69,B,82.24,A,82.02,A,76.38,B,83.47,A
경기,양주시,81.97,B,80.07,C,82.92,B,79.42,C,83.81,B,81.68,B,83.89,B
경기,양평군,77.73,D,80.46,D,80.11,D,78.8,D,77.93,D,78.72,D,70.34,E
경기,여주시,80.86,C,81.68,B,78.97,D,81.93,B,82.06,B,77.76,D,82.75,B
경기,연천군,81.98,C,83.2,B,83.71,C,82.9,C,81.14,C,76.97,D,83.99,C
경기,오산시,79.03,C,76.64,D,77.53,D,81.09,C,82.39,B,79,C,77.54,C
경기,용인시,72.15,C,69.18,D,78.06,B,74.55,D,70.55,D,73.6,C,66.97,D
경기,의왕시,83.6,A,82.39,B,82.32,C,83.32,B,83.82,B,83.4,A,86.36,A
경기,의정부시,72.55,C,78.81,B,73.32,C,74.94,C,60.83,E,74.66,B,72.73,B
경기,이천시,79.26,C,78.53,D,77.87,D,82.04,B,80.46,C,77.38,D,79.27,C
경기,파주시,71.6,D,72.79,D,80.22,B,71.15,E,74.77,C,65.29,E,65.38,D
경기,평택시,69.52,D,73.04,C,66.45,D,79.7,B,71.4,C,65.69,E,60.87,E
경기,포천시,79.96,C,81.32,C,83.03,B,80.54,C,79.74,C,78.26,C,76.85,D
경기,하남시,77.3,B,74.87,C,72.98,D,80.79,A,80.62,B,75.76,B,78.77,A
경기,화성시,74.58,B,75.51,C,76.99,C,80.19,B,74.32,C,73.38,C,67.11,D
경남,거제시,80.21,C,77.56,D,81.74,C,79.71,C,81.12,C,80.78,C,80.35,C
경남,거창군,82.52,C,83.09,C,83.52,C,83.23,B,79.69,D,81.87,C,83.73,C
