개방서비스명,상세영업상태명,주소,대분류,중분류,사업장명,업태구분명,좌표정보(x),좌표정보(y)
유흥주점영업,영업,"대전광역시 대덕구 대덕대로 1610, 4층 (석봉동)",대전광역시,대덕구,아리아노래주점,룸살롱,238185.292,327805.4805
단란주점영업,영업,대전광역시 대덕구 대전로 1359 (읍내동),대전광역시,대덕구,팡팡노래마당,단란주점,237630.3388,319451.6905
유흥주점영업,영업,대전광역시 대덕구 대청로 17 (신탄진동),대전광역시,대덕구,뒹가뒹가술마시는노래주점,룸살롱,238512.9096,327954.9699
유흥주점영업,영업,"대전광역시 대덕구 대청로 8, 2층 (신탄진동)",대전광역시,대덕구,써니,룸살롱,238436.9209,327881.6928
유흥주점영업,영업,대전광역시 대덕구 신탄진동로 지하 27 (신탄진동),대전광역시,대덕구,블루문가요주점,카바레,238704.9793,327542.0746
유흥주점영업,영업,대전광역시 대덕구 신탄진동로23번길 17 (신탄진동),대전광역시,대덕구,아우디,룸살롱,238616.195,327601.6122
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로23번길 17, 2층 (신탄진동)",대전광역시,대덕구,케이케이7080,스텐드바,238616.195,327601.6122
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로23번길 2 (신탄진동,,7)",대전광역시,대덕구,뽕가요주점,룸살롱,238666.0987,327529.1533
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로23번길 39, 지하층 (신탄진동)",대전광역시,대덕구,레전드,룸살롱,238594.425,327702.1172
유흥주점영업,영업,대전광역시 대덕구 신탄진동로23번길 48 (신탄진동),대전광역시,대덕구,에쎄,룸살롱,238618.0795,327751.9739
유흥주점영업,영업,대전광역시 대덕구 신탄진동로23번길 51 (신탄진동),대전광역시,대덕구,찐,룸살롱,238585.0605,327759.3969
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로23번길 51, 2층 (신탄진동)",대전광역시,대덕구,신탄진스텐드바,스텐드바,238585.0605,327759.3969
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로23번길 56, 지하층 (신탄진동)",대전광역시,대덕구,보스톤노래마당,룸살롱,238611.7454,327792.8967
단란주점영업,영업,"대전광역시 대덕구 신탄진동로23번길 7, 지하1층 (신탄진동)",대전광역시,대덕구,똥광단란주점,단란주점,238624.5906,327552.7998
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로23번길 73, 지하층 (신탄진동)",대전광역시,대덕구,비너스술마시는노래마당,룸살롱,238550.57,327872.7544
유흥주점영업,영업,대전광역시 대덕구 신탄진동로23번길 지하 55 (신탄진동),대전광역시,대덕구,스타노래궁,룸살롱,238579.8406,327786.1672
단란주점영업,영업,"대전광역시 대덕구 신탄진동로7번길 10, 지하1층 (신탄진동)",대전광역시,대덕구,황후,단란주점,238513.1716,327533.5143
유흥주점영업,영업,대전광역시 대덕구 신탄진동로7번길 14 (신탄진동),대전광역시,대덕구,사계절,카바레,238510.5319,327554.5755
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로7번길 14, 지하층 (신탄진동)",대전광역시,대덕구,라임주점,룸살롱,238510.5319,327554.5755
단란주점영업,영업,대전광역시 대덕구 신탄진동로7번길 19 (신탄진동),대전광역시,대덕구,퀸,단란주점,238481.1132,327579.8092
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로7번길 23, 2층 (신탄진동)",대전광역시,대덕구,물안개가요주점,룸살롱,238477.8389,327593.1456
유흥주점영업,영업,대전광역시 대덕구 신탄진동로7번길 30 (신탄진동),대전광역시,대덕구,황제노래마당,룸살롱,238488.4576,327634.3066
유흥주점영업,영업,대전광역시 대덕구 신탄진동로7번길 37 (신탄진동),대전광역시,대덕구,썬가요주점,룸살롱,238459.3629,327668.2272
유흥주점영업,영업,대전광역시 대덕구 신탄진동로7번길 39 (신탄진동),대전광역시,대덕구,7080술마시는노래주점,기타,238452.5137,327680.0685
유흥주점영업,영업,대전광역시 대덕구 신탄진동로7번길 41 (신탄진동),대전광역시,대덕구,허브,룸살롱,238450.7405,327689.336
유흥주점영업,영업,대전광역시 대덕구 신탄진동로7번길 42 (신탄진동),대전광역시,대덕구,명품,룸살롱,238476.1563,327691.7986
유흥주점영업,영업,대전광역시 대덕구 신탄진동로7번길 58 (신탄진동),대전광역시,대덕구,쎄븐,룸살롱,238459.8138,327775.8411
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로7번길 59, 1층 (신탄진동)",대전광역시,대덕구,강남,룸살롱,238434.5356,327774.1914
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로7번길 59, 지하층 (신탄진동)",대전광역시,대덕구,제이클럽,고고(디스코)클럽,238434.5356,327774.1914
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로7번길 63, 2층 (신탄진동)",대전광역시,대덕구,하트,룸살롱,238430.242,327793.5298
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로7번길 63, 지하층 (신탄진동)",대전광역시,대덕구,뉴스가요주점,룸살롱,238430.242,327793.5298
단란주점영업,영업,"대전광역시 대덕구 신탄진동로7번안길 11, 지하층 (신탄진동)",대전광역시,대덕구,황진이,단란주점,238491.7914,327840.8649
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로7번안길 7, 지하층 (신탄진동)",대전광역시,대덕구,엉덩이가요주점,카바레,238468.6311,327833.6114
단란주점영업,영업,"대전광역시 대덕구 신탄진동로7번안길 9-7 (신탄진동,외 1필지)",대전광역시,대덕구,딩동댕술마시는노래성,단란주점,238462.7154,327860.0556
유흥주점영업,영업,"대전광역시 대덕구 신탄진동로7번안길 9-7, 2층 (신탄진동)",대전광역시,대덕구,바카스,룸살롱,238462.7154,327860.0556
유흥주점영업,영업,"대전광역시 대덕구 신탄진로 798, 지하층 (신탄진동)",대전광역시,대덕구,도깨비가요주점,룸살롱,238435.7896,327613.2781
유흥주점영업,영업,"대전광역시 대덕구 신탄진로790번길 38, 2층 (신탄진동)",대전광역시,대덕구,공주투,룸살롱,238663.3951,327569.0088
유흥주점영업,영업,"대전광역시 대덕구 신탄진로790번길 38, 지하층 (신탄진동)",대전광역시,대덕구,빙글빙글,룸살롱,238663.3951,327569.0088
유흥주점영업,영업,"대전광역시 대덕구 신탄진로796번길 8 (신탄진동,(2층))",대전광역시,대덕구,제우스노래마당,룸살롱,238469.5218,327582.0329
유흥주점영업,영업,대전광역시 대덕구 신탄진로804번길 31 (신탄진동),대전광역시,대덕구,섹시,룸살롱,238626.1387,327710.1512
유흥주점영업,영업,대전광역시 대덕구 신탄진로804번길 32 (신탄진동),대전광역시,대덕구,홍콩,룸살롱,238631.2254,327693.4929
유흥주점영업,영업,"대전광역시 대덕구 신탄진로810번길 12, 3층 (신탄진동)",대전광역시,대덕구,나는가수다,스텐드바,238467.3285,327733.9434
유흥주점영업,영업,"대전광역시 대덕구 신탄진로810번길 12, 지하층 (신탄진동)",대전광역시,대덕구,비지니스노래궁,룸살롱,238467.3285,327733.9434
유흥주점영업,영업,대전광역시 대덕구 신탄진로810번길 13 (신탄진동),대전광역시,대덕구,샤넬,룸살롱,238464.1534,327756.7204
유흥주점영업,영업,대전광역시 대덕구 신탄진로810번길 14 (신탄진동),대전광역시,대덕구,킹카,룸살롱,238480.063,327736.8902
유흥주점영업,영업,"대전광역시 대덕구 신탄진로810번길 14, 2층 (신탄진동)",대전광역시,대덕구,쿤노래타운,룸살롱,238480.063,327736.8902
유흥주점영업,영업,대전광역시 대덕구 신탄진로810번길 15 (신탄진동),대전광역시,대덕구,에스,룸살롱,238481.3293,327768.7984
단란주점영업,영업,"대전광역시 대덕구 신탄진로810번길 23, 1층 (신탄진동)",대전광역시,대덕구,청담노래주점,단란주점,238510.3124,327775.4866
단란주점영업,영업,대전광역시 대덕구 신탄진로810번길 34 (신탄진동),대전광역시,대덕구,길벗,단란주점,238571.4491,327756.2578
유흥주점영업,영업,"대전광역시 대덕구 신탄진로810번길 34 (신탄진동,(2층))",대전광역시,대덕구,투앤투가요주점,룸살롱,238571.4491,327756.2578
