대분류,시,인구수
충청남도,천안시,657821
충청남도,공주시,102651
충청남도,보령시,97188
충청남도,아산시,333602
충청남도,서산시,176440
충청남도,논산시,112842
충청남도,계룡시,44328
충청남도,당진시,167955
충청남도,금산군,50092
충청남도,부여군,62435
충청남도,서천군,50009
충청남도,청양군,30270
충청남도,홍성군,98053
충청남도,예산군,77329
충청남도,태안군,61342
세종특별자치시,조치원읍,42408
세종특별자치시,연기면,2653
세종특별자치시,연동면,2996
세종특별자치시,부강면,5900
세종특별자치시,금남면,8699
세종특별자치시,장군면,6898
세종특별자치시,연서면,7261
세종특별자치시,전의면,5493
세종특별자치시,전동면,3288
세종특별자치시,소정면,2219
세종특별자치시,한솔동,18335
세종특별자치시,가람동,18335
세종특별자치시,나성동,39636
세종특별자치시,누리동,8704
세종특별자치시,다솜동,25644
세종특별자치시,산울동,8704
세종특별자치시,세종동,39636
세종특별자치시,어진동,35356
세종특별자치시,용호동,2996
세종특별자치시,집현동,25644
세종특별자치시,한별동,2653
세종특별자치시,합강동,25644
세종특별자치시,새롬동,39636
세종특별자치시,도담동,35356
세종특별자치시,해밀동,8704
세종특별자치시,아름동,23444
세종특별자치시,종촌동,28664
세종특별자치시,고운동,35076
세종특별자치시,소담동,21461
세종특별자치시,반곡동,25644
세종특별자치시,보람동,18941
세종특별자치시,대평동,11262
세종특별자치시,다정동,28432
충청북도,청주시,849573
충청북도,충주시,208277
충청북도,제천시,130988
충청북도,보은군,31455
충청북도,옥천군,49520
충청북도,영동군,44956
충청북도,증평군,37262
충청북도,진천군,86147
충청북도,괴산군,37055
충청북도,음성군,92058
충청북도,단양군,27767
대전광역시,유성구,356093
대전광역시,서구,470374
대전광역시,중구,227108
대전광역시,동구,219751
대전광역시,대덕구,172746
